Designator,Footprint,Quantity,Value,LCSC Part #,MFG,MFG PN,Notes
"C1, C6",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,NP,NA,NA,NA,
"C2, C3, C4, C5",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4,0.1u,C49678,Yageo,CC0805KRX7R9BB104,
D1,LED_0805_2012Metric,1,GREEN,C73548,Everlight Elec,17-21SYGC/S530-E2/TR8,
"D2, D3, D4",LED_WS2812B_PLCC4,3,WS2812B,C2761795,Worldsemi,WS2812B-B/T,
"J1, J3",SJ2-3594A-SMT-TR,2,SJ2-3594A-SMT-TR,C4992342,CUI,SJ2-3594A-SMT-TR,
J2,PinHeader_2x07_P2.54mm_Vertical,1,Conn_02x07_Odd_Even,C400039,CJT,A2547WV-N-2x7P,
"J4, J5",SP-3541_Makerfabs_2,2,SP-3541,NA,CUI,SP-3541,Mfabs Source
R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,5.1k,C27834,UNI-ROYAL,0805W8F5101T5E,
R10,R_0805_2012Metric,1,51,C17738,UNI-ROYAL,0805W8F510JT5E,
"R2, R5, R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,3,1k,C17513,UNI-ROYAL,0805W8F1001T5E,
R3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,NP,NA,NA,NA,
R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,100,C17408,UNI-ROYAL,0805W8F1000T5E,
R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,10k,C17414,UNI-ROYAL,0805W8F1002T5E,
R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,680,C17798,UNI-ROYAL,0805W8F6800T5E,
"RV1, RV2",TRIM_3314J-1-103E,2,5k,C58391,BOURNS,3314J-1-502E,
SW1,JS202011CQN,1,JS202011CQN,C221663,C&K,JS202011CQN,
SW2,SW_JS102011SAQN,1,SW_SLIDE_SPDT,C221660,C&K,JS102011SAQN,
U1,SO-4_4.4x3.6mm_P2.54mm,1,LTV-355T,C10803,Lite-On,LTV-355T,
