Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C6",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,NP,NA
"C2, C3, C4, C5",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4,0.1u,C49678
D1,LED_0805_2012Metric,1,GREEN,C73548
"D2, D3, D4",LED_WS2812B_PLCC4,3,WS2812B,C2761795
"FID1, FID2, FID3",Fiducial_0.75mm_Mask1.5mm,3,Fiducial,NA
"H1, H2",MountingHole_2.7mm_M2.5_ISO7380_Pad,2,MTG,NA
"J1, J3",SJ2-3594A-SMT-TR,2,SJ2-3594A-SMT-TR,
J2,PinHeader_2x07_P2.54mm_Vertical,1,Conn_02x07_Odd_Even,C400039
"J4, J5",SP-3541_PCBWay,2,SP-3541,MFABS
"JP1, JP2, JP3, JP4, JP5, JP7, JP8",SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,7,JMP,NA
JP6,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Jumper_2_Open,NA
LOGO,LOGO,1,Fiducial,
R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,3.3k,C26010
R10,R_0805_2012Metric,1,51,C17738
R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,5.1k,C27834
R3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,NP,NA
"R5, R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,1k,C17513
R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,100,C17408
R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,10k,C17414
R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,680,C17798
"RV1, RV2",TRIM_3314J-1-103E,2,5k,C58391
SW1,JS202011CQN,1,JS202011CQN,C221663
SW2,SW_JS102011SAQN,1,SW_SLIDE_SPDT,C221660
"TP1, TP2, TP3, TP4, TP6, TP9",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,6,TP,NA
U1,SO-4_4.4x3.6mm_P2.54mm,1,LTV-355T,C10803
