Item,Desciption,QTY,Notes,Link1,Link2
1,Sidekick V2,1,,Makerfabs,Makerfabs
2,Audio Kit,1,,https://www.amazon.com/JESSINIE-Bluetooth-ESP32-A1S-Development-Dual-core/dp/B0B5XKG5NK,https://www.aliexpress.us/item/3256801407357108.html
3,3W 4 Ohm Speaker,1,Plug into LOUT,https://www.amazon.com/dp/B08JCHK7GR,https://www.aliexpress.us/item/3256804834669523.html?
4,Handset,1,Disassemble Handset if needed,https://www.amazon.com/Original-UV-5R-Shoulder-Compatible-Accessories/dp/B0895PT3SB,Baofeng Direct
5,Ribbon Cable,0.5,Can make 2 cables,https://www.digikey.com/en/products/detail/assmann-wsw-components/H3CCS-1406G/1218581,
6,Ribbon Connector,1,,https://www.digikey.com/en/products/detail/on-shore-technology-inc/101-146/2794213,
7,SD Card,1,,https://www.microcenter.com/product/658457/micro-center-32gb-microsdhc-card-class-10-flash-memory-card-with-adapter,
8,USB Cable,1,,https://www.amazon.com/Amazon-Basics-Charging-Transfer-Gold-Plated/dp/B07232M876,
9,Opt Audio Input Jack,1,Optional,https://www.digikey.com/en/products/detail/cui-devices/SJ1-3515-SMT-TR/659917,
,,,,,
,Date,,,9/29/2023,
