Designator,Footprint,Quantity,Value,LCSC Part #
"C2, C4, C6, C7",C_0805_2012Metric,4,0.1u,C1711
C3,C_0805_2012Metric,1,2.2n,C28260
"D1, D4",D_SOD-123,2,TVS_3.3V,C2891770
"D2, D3, D5",LED_WS2812B_PLCC4,3,WS2812B,C2761795
D6,LED_0805_2012Metric,1,GREEN,C73548
J1,PinHeader_2x07_P2.54mm_Vertical,1,Conn_02x07_Odd_Even,C400039
"J2, J4",SP-3541_Makerfabs_2,2,SP-3541,MFABS
R1,R_0805_2012Metric,1,51,C17738
"R11, R4",R_0805_2012Metric,2,10k,C17414
R12,R_0805_2012Metric,1,100,C17408
R14,R_0805_2012Metric,1,680,C17798
R15,R_0805_2012Metric,1,1k,C17513
"R5, R6",R_0805_2012Metric,2,0,C17477
"R7, R8",R_0805_2012Metric,2,2k,C17604
"RV1, RV2",TRIM_3314J-1-103E,2,10k,C36376
SW1,SW_JS102011SAQN,1,SW_SLIDE_SPDT,C221660
U1,SO-4_4.4x3.6mm_P2.54mm,1,LTV-355T,C10803
