Designator,Mid X,Mid Y,Rotation,Layer
C2,2.57,-35.45,90.0,top
C3,21.8075,-36.72,0.0,top
C4,2.62,-45.45,90.0,top
C5,22.975,-51.195,-90.0,top
C6,2.62,-55.35,90.0,top
C7,13.21,-56.29,90.0,top
D1,20.715,-33.17,90.0,top
D2,7.62,-35.4,0.0,top
D3,7.62,-45.4,0.0,top
D4,15.55,-50.27,-90.0,top
D5,7.62,-55.4,0.0,top
D6,15.63,-57.91,90.0,top
J1,21.425,-3.55,-90.0,top
J2,4.85,-13.57,0.0,top
J3,22.59,-17.39,180.0,top
J4,4.85,-23.805,0.0,top
J5,23.675,-39.895,0.0,top
R1,11.32,-14.55,90.0,top
R10,17.175,-39.795,180.0,top
R11,12.145,-50.225,90.0,top
R12,18.29,-49.32,90.0,top
R13,25.675,-53.475,0.0,top
R14,16.18,-54.65,0.0,top
R15,19.9,-54.61,180.0,top
R2,20.56,-26.21,-90.0,top
R3,23.75,-26.32,0.0,top
R4,17.8,-30.22,-90.0,top
R5,18.325,-33.83,-90.0,top
R6,14.325,-36.045,-90.0,top
R7,25.4775,-36.68,180.0,top
R8,17.175,-36.845,180.0,top
R9,13.55,-39.795,0.0,top
RV1,24.6,-31.4475,180.0,top
RV2,16.6,-44.22,180.0,top
SW1,26.77,-63.03,90.0,top
U1,19.75,-61.27,-90.0,top
